compositeHourlyWages,age,yearsEducation,sex1M0F
21.38,58,10,1
25.15,42,16,1
8.57,31,12,0
12.07,43,13,0
10.97,46,12,0
22.07,31,19,0
23.91,26,12,1
5.5,19,13,0
7.2,18,11,1
14.83,51,10,1
9.4,19,11,0
15.36,43,14,1
9.37,62,11,1
29.62,42,17,0
14.5,31,13,0
6.94,19,14,1
7.1,35,13,0
17.08,30,12,1
23.57,44,12,1
17.81,34,13,1
12.07,25,17,1
3.13,60,20,1
11.09,54,10,1
9.6,52,9,0
45.38,36,18,1
17.98,53,12,0
13.24,42,10,0
31.2,57,20,1
6.7,27,11,0
14.85,30,10,1
17,42,10,0
14.28,48,13,0
8.39,24,17,0
18.72,48,17,1
14,27,10,1
20.5,52,16,0
12.45,34,14,0
16.86,32,13,1
15,26,17,1
11.67,55,10,0
6.31,28,11,1
7,18,15,0
16.96,39,12,0
44.25,20,14,0
38.4,42,15,0
7.5,44,11,0
10.71,21,14,1
7.4,19,12,1
23.26,36,20,0
21,24,18,0
7.7,21,16,1
7.5,26,18,1
20.4,31,13,1
10,53,14,0
34.8,42,16,1
14.52,30,15,0
23.04,43,14,1
9.65,40,14,0
15.78,37,13,0
14.61,51,10,1
6.96,21,12,0
33.6,41,13,1
45.5,55,8,1
13.65,32,12,0
24,38,15,0
16.8,40,15,1
8.36,32,10,1
8.79,45,4,0
7.3,20,13,0
3.12,24,17,1
10,50,9,0
16.97,30,13,0
21.1,30,15,0
15.84,32,14,0
20,47,16,1
14.07,56,12,0
8.89,21,16,1
6.65,51,12,0
23.68,39,13,0
12.85,27,14,0
46.15,18,11,1
21.16,30,18,1
13,49,13,1
8,37,8,0
20,48,13,1
23.2,35,20,0
7.72,18,13,0
11.18,64,0,1
8.48,21,12,1
34.56,46,12,1
10.47,29,11,1
15.66,45,17,0
23.05,51,10,1
9.59,32,16,1
20,29,20,0
6.95,20,14,1
12.76,31,12,0
13.44,36,14,0
37.76,50,15,1
15,36,13,1
16.3,29,16,0
4.94,59,13,1
6.7,20,14,0
24.14,49,10,1
17.44,37,8,0
7,34,12,0
16.5,47,18,1
19.83,44,9,1
19.2,30,12,0
21.39,39,16,1
13.5,50,10,1
25.98,47,15,0
6.42,43,12,0
19.2,57,13,1
8.5,24,14,0
23.04,29,16,1
12,43,10,0
6.7,19,14,1
32.16,48,13,1
10,26,11,1
16.1,29,13,1
12.22,26,11,1
24.92,39,12,1
23.04,49,17,0
17.67,42,13,0
7.61,41,11,0
18.61,49,12,0
10.26,31,13,0
15.31,32,15,0
12.55,35,12,0
19.19,64,13,0
7.15,17,11,1
8,28,14,0
27.12,25,15,0
13.52,31,12,1
9.38,34,10,1
6.7,38,8,0
8,37,12,0
21.03,41,11,1
12.88,48,12,0
3.63,19,13,1
10.83,29,18,1
20.16,51,1,1
7.25,17,11,1
23.35,44,20,1
7.03,18,12,0
36.11,35,17,1
19,31,18,1
23,27,17,1
18.92,45,14,1
16.8,36,16,0
17.87,25,17,0
6.67,20,13,0
10,64,11,0
15.84,64,13,1
11,28,16,1
24,60,17,0
9.5,58,12,0
12.81,41,10,1
42.88,41,20,0
8.5,50,13,0
12.5,35,17,0
12.48,39,11,0
21.68,56,13,1
30.1,47,13,1
15.6,37,13,1
12.81,54,12,0
28.35,44,12,1
16.62,32,9,0
10,43,14,0
14.62,28,13,1
19.2,49,10,1
7.45,42,10,1
24.32,35,20,1
16.15,34,17,0
14.97,53,13,1
18.92,41,20,1
